University,Status,Target Major,Term,GRE Verbal,GRE Quantitative,GRE Writing,GRE Total,TOEFL/IELTS,UG College,UG Major,GPA,Papers,Work Exp
Arizona State University,Admit,Aerospace Engineering,Fall 2023,165,154,4,319,8,Amrita University Coimbatore Campus,Mechanical Engineering,3.8,0,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2023,N/A,N/A,N/A,N/A,7,SRM University,Aeronautical Engineering,9.1,0,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2023,163,148,4,311,105,NIT Calicut,Mechanical Engineering,6.52,1,41 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2023,164,145,4,309,7.5,PES Institute Of Technology,Mechanical Engineering,6.6,0,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2023,N/A,N/A,N/A,N/A,7,Dayananda sagar University,Aerospace Engineering,9,0,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2023,159,147,4,306,8,"Rajalakshmi Engineering College , Thandalam",Aeronautical Engineering,9.25,0,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2023,162,152,3,314,7.5,Sri Ramakrishna Engineering College,Mechanical Engineering,8.08,0,0 Mo
Arizona State University,Reject,Aerospace Engineering,Fall 2023,N/A,N/A,N/A,N/A,6.5,Sandip University,Aerospace Engineering,7.61,0,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2023,153,151,4,304,7.5,MCT Rajiv Gandhi Institute of Technology,Mechanical Engineering,8.26,1,0 Mo
Arizona State University,Admit,Aerospace Engineering,Spring 2023,N/A,N/A,N/A,N/A,6,Rvr&jc college of engineering,Mechanical Engineering,9.17,0,0 Mo
Arizona State University,Admit,Aerospace Engineering,Spring 2023,152,166,3,318,8,"MLR Institute Of Technology, Hyderabad",Aeronautical Engineering,8.01,0,0 Mo
Arizona State University,Admit,Aerospace Engineering,Spring 2023,N/A,N/A,N/A,N/A,7.5,NIT Trichy,Mechanical Engineering,8,0,0 Mo
Arizona State University,Admit,Aerospace Engineering,Spring 2023,155,161,3.5,316,101,"Sardar Patel College Of Engineering, , Andheri",Mechanical Engineering,7.8,0,34 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2018,150,163,4,313,98,SRM University,Mechanical Engineering,9,3,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2021,155,146,3,301,7,Nitte Meenakshi Institute Of Technology,Aeronautical Engineering,7.79,1,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2018,160,152,4.5,312,106,Sir M. Visvesvaraya Institute Of Technology (MVIT),Mechanical Engineering,75,N/A,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2019,165,138,3,303,N/A,L J Institute of Engineering and Technology,Computer Science,9.18,N/A,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2021,N/A,N/A,N/A,N/A,7,Manipal Institute of Technology,Aeronautical Engineering,8.93,N/A,0 Mo
Arizona State University,Reject,Aerospace Engineering,Fall 2015,165,148,3.5,313,95,N/A,N/A,N/A,N/A,0 Mo
Arizona State University,Reject,Aerospace Engineering,Fall 2019,166,153,3.5,319,109,shiv nadar university,ECE,6.67,N/A,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2019,168,154,3.5,322,N/A,Amrita University Coimbatore Campus,Aeronautical Engineering,8,N/A,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2019,160,149,3,309,7,MOOKAMBIGAI COLLEGE OF ENGINEERING,EEE,7.03,0,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2019,168,149,4,317,7.5,R.M.K Engineering college,Mechanical Engineering,8.15,3,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2018,163,156,N/A,319,105,"Don Bosco Institute Of Technology, Kurla",Mechanical Engineering,7.75,0,0 Mo
Arizona State University,Reject,Aerospace Engineering,Fall 2017,165,150,3.5,315,96,"Madras Institute of Technology (MIT), Chromepet",Aeronautical Engineering,8.08,N/A,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2017,157,151,4,308,7.5,Embry Riddle Aeronautical University,Aeronautical Engineering,60,N/A,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2021,160,139,3,299,7,Silver Oak College of Engineering and Technology,Mechanical Engineering,7.43,0,14 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2018,170,156,3.5,326,114,m.s university,Mechanical Engineering,9.1,N/A,0 Mo
Arizona State University,Reject,Aerospace Engineering,Fall 2018,145,167,3.5,312,101,"CSPIT,CHARUSAT",Mechanical Engineering,7.3,0,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2016,161,156,4,317,107,"Madras Institute of Technology (MIT), Chromepet",Aeronautical Engineering,8.76,N/A,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2013,160,145,3,305,95,K. J. Somaiya College of Engineering,Mechanical Engineering,8.38,N/A,0 Mo
Arizona State University,Reject,Aerospace Engineering,Fall 2016,162,153,3,315,105,Manipal University Jaipur,Mechanical Engineering,7.7,N/A,0 Mo
Arizona State University,Reject,Aerospace Engineering,Fall 2021,160,147,4,307,8,Sarvajanik college of engineering and technology,EEE,8.44,N/A,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2019,162,148,4,310,97,MNNIT Allahabad,Information Technology,6.7,N/A,43 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2016,164,149,3,313,113,PEC University of Technology,Aeronautical Engineering,8.17,N/A,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2019,159,156,4,315,7.5,Chaitanya Bharathi Institute of Technology,Mechanical Engineering,7.5,0,0 Mo
Arizona State University,Admit,Aerospace Engineering,Spring 2022,167,140,3,307,7,"School of Engineering and Technology, Jain University",Aeronautical Engineering,8.4,N/A,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2019,165,160,N/A,325,103,R.V. College Of Engineering,Aeronautical Engineering,8.62,2,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2016,160,149,3.5,309,N/A,"Meenakshi Sundararajan Engineering College (MSEC), Kodambakkam",Mechanical Engineering,8.67,N/A,0 Mo
Arizona State University,Reject,Aerospace Engineering,Spring 2019,160,149,4.5,309,8,University of Pune,Mechanical Engineering,58,N/A,0 Mo
Arizona State University,Reject,Aerospace Engineering,Fall 2019,159,155,4,314,111,Sapthagiri College Of Engineering,ECE,74,0,53 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2019,169,151,4,320,102,R.V. College Of Engineering,Aeronautical Engineering,8.64,0,0 Mo
Arizona State University,Reject,Aerospace Engineering,Fall 2017,158,147,3,305,90,Bharati Vidyapeeth College of Engineering,Mechanical Engineering,58,N/A,0 Mo
Arizona State University,Admit,Aerospace Engineering,Spring 2020,160,153,4.5,313,7.5,Gokaraju Rangaraju Institute of Engineering and Technology,Mechanical Engineering,8.4,N/A,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2019,167,154,4,321,105,Pimpri Chinchwad College Of Engineering,Computer Science,7.8,N/A,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2019,163,147,4,310,99,SSN College of Engineering,Mechanical Engineering,8.05,N/A,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2021,158,146,3,304,7.5,A.P.Shah institute of technology,Mechanical Engineering,7.78,0,7 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2019,163,151,3,314,95,"Institute of Engineering, Tribhuwan University",Computer Science,78.89,N/A,9 Mo
Arizona State University,Admit,Aerospace Engineering,Spring 2022,N/A,N/A,N/A,N/A,8,Hindustan University - Hindustan Institute of Science & Technology (HITS),Aeronautical Engineering,8.54,0,27 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2016,155,145,3,300,N/A,"P.E.S. Institute of Technology, Bangalore",Mechanical Engineering,8,N/A,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2019,166,146,3.5,312,95,NIT Surat,Mechanical Engineering,8.99,N/A,0 Mo
Arizona State University,Reject,Aerospace Engineering,Fall 2019,161,144,3,305,100,Ambala College Of Engineering And Applied Research,ECE,75.8,N/A,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2021,168,157,4,325,108,"BITS Pilani, Pilani Campus",Mechanical Engineering,8.3,N/A,0 Mo
Arizona State University,Admit,Aerospace Engineering,Spring 2018,161,143,3,304,93,Reva Institute Of Technology & Management,Mechanical Engineering,79.91,N/A,29 Mo
Arizona State University,Reject,Aerospace Engineering,Fall 2019,164,151,3,315,103,MGM college of engineering (MGMCET),Mechanical Engineering,6.39,N/A,19 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2017,166,156,3.5,322,106,IIT Kharagpur,Aeronautical Engineering,7,N/A,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2022,168,151,0,319,8,SRM University,Aerospace Engineering,80,N/A,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2016,162,148,3.5,310,105,SRM University,Aeronautical Engineering,8.7,N/A,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2022,154,158,4,312,N/A,CVR College of Engineering,Mechanical Engineering,8.7,N/A,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2017,153,153,3.5,306,8,Symbiosis Institute Of Technology  PUNE,Mechanical Engineering,84,N/A,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2022,159,153,3,315,102,NIT Calicut,Physics,7.77,0,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2022,154,166,N/A,320,118,Indira Gandhi Delhi Technical University for Women,Mechanical Engineering,85.4,N/A,0 Mo
Arizona State University,Reject,Aerospace Engineering,Fall 2015,158,144,0,302,91,SRM University,Aeronautical Engineering,7.2,N/A,0 Mo
Arizona State University,Reject,Aerospace Engineering,Fall 2017,157,157,3.5,314,112,"KCG College of Technology (KC Tech), Karapakkam, OMR",Aeronautical Engineering,6.68,N/A,0 Mo
Arizona State University,Reject,Aerospace Engineering,Fall 2017,140,162,3,302,96,"Meenakshi Sundararajan Engineering College (MSEC), Kodambakkam",Mechanical Engineering,8.13,0,2 Mo
Arizona State University,Reject,Aerospace Engineering,Fall 2018,162,151,4,313,95,N/A,N/A,N/A,N/A,0 Mo
Arizona State University,Admit,Automotive Engineering,Fall 2015,170,158,4,328,107,Anna University/SVCE,EEE,84,0,46 Mo
Arizona State University,Admit,Architecture,Fall 2023,N/A,N/A,N/A,N/A,7.5,University of Mumbai,Architecture,8,0,0 Mo
Arizona State University,Admit,Architecture,Fall 2023,N/A,N/A,N/A,N/A,7,MEASI academy of architecture,Architecture,7.8,0,0 Mo
Arizona State University,Admit,Architecture,Fall 2023,155,141,3,296,6.5,Dr. A.P.J. ABDUL KALAM UNIVERSITY,Architecture,66.8,0,28 Mo
Arizona State University,Admit,Architecture,Fall 2023,N/A,N/A,N/A,N/A,6.5,CTES College of Architecture,Architecture,7,0,0 Mo
Arizona State University,Admit,Architecture,Fall 2023,156,158,4,314,7,"GD Goenka university, Sohna",Architecture,7.1,1,35 Mo
Arizona State University,Admit,Architecture,Fall 2023,N/A,N/A,N/A,N/A,96,Anna University,Architecture,8.5,0,0 Mo
Arizona State University,Admit,Architecture,Fall 2023,150,160,5,310,97,Chitkara University,Architecture,9,0,0 Mo
Arizona State University,Admit,Architecture,Fall 2020,155,141,3,296,6.5,Dr. A.P.J. ABDUL KALAM UNIVERSITY,Architecture,66.8,N/A,0 Mo
Arizona State University,Admit,Architecture,Fall 2019,142,145,3.5,287,91,University of Mumbai,Architecture,6.98,N/A,0 Mo
Arizona State University,Admit,Architecture,Fall 2021,161,150,4.5,311,108,Pillai College Of Architecture,Architecture,8.07,N/A,0 Mo
Arizona State University,Admit,Architecture,Fall 2021,156,145,4,301,7.5,visvesvaraya technological university,Architecture,8.6,N/A,35 Mo
Arizona State University,Admit,Architecture,Fall 2021,N/A,N/A,N/A,N/A,7.5,Acharaya Institute Of Technology,Architecture,7.3,N/A,0 Mo
Arizona State University,Admit,Architecture,Fall 2021,N/A,N/A,N/A,N/A,7,Thiyagarajar College of engineering,Architecture,7.1,N/A,0 Mo
Arizona State University,Admit,Architecture,Fall 2022,151,151,3.5,302,111,Sinhgad college of architecture,Architecture,9.35,N/A,13 Mo
Arizona State University,Admit,Architecture,Fall 2018,158,150,4.5,308,N/A,"Bharath University, Selaiyur, Tambaram",Architecture,87.5,N/A,0 Mo
Arizona State University,Admit,Architecture,Fall 2018,155,155,0,310,100,Pillai College Of Architecture,Architecture,65,N/A,0 Mo
Arizona State University,Admit,Architecture,Fall 2019,158,147,3.5,305,7.5,Anna University,Architecture,8.6,1,20 Mo
Arizona State University,Admit,Architecture,Fall 2019,154,166,5,320,111,NIT Trichy,Architecture,7.6,N/A,0 Mo
Arizona State University,Admit,Architecture,Fall 2021,165,146,4,311,105,University of Mumbai,Architecture,6.46,0,5 Mo
Arizona State University,Admit,Architecture,Fall 2019,163,158,5,321,114,national institute of technology patna,Architecture,8.15,1,5 Mo
Arizona State University,Admit,Architecture,Fall 2017,159,152,3.5,311,100,Sinhgad college of architecture,Architecture,60,N/A,0 Mo
Arizona State University,Admit,Architecture,Fall 2021,N/A,N/A,N/A,N/A,6.5,Dr. Baliram College Of Architecture,Architecture,7.71,N/A,0 Mo
Arizona State University,Admit,Architecture,Spring 2021,N/A,N/A,N/A,N/A,6.5,A.P.I.E.D,Architecture,65,N/A,21 Mo
Arizona State University,Admit,Architecture,Fall 2019,158,146,4,304,7,L. S. Raheja School of Architecture (L.S.R.),Architecture,7.32,N/A,0 Mo
Arizona State University,Reject,Architecture,Fall 2018,150,147,4,297,84,IES COLLEGE OF ARCHITECTURE,Architecture,6,N/A,0 Mo
Arizona State University,Admit,Architecture,Fall 2017,N/A,N/A,N/A,N/A,96,sardar patel university,Architecture,69,N/A,0 Mo
Arizona State University,Admit,Architecture,Fall 2020,N/A,N/A,N/A,N/A,106,Academy of Architecture,Architecture,8,N/A,7 Mo
Arizona State University,Admit,Architecture,Fall 2021,N/A,N/A,N/A,N/A,7.5,Thakur school of Architecture and planning,Architecture,7.4,N/A,9 Mo
Arizona State University,Admit,Architecture,Fall 2021,N/A,N/A,N/A,N/A,101,School Of Planning And Architecture,Architecture,7.8,N/A,0 Mo
Arizona State University,Admit,Architecture,Fall 2018,168,154,3.5,322,106,Jaypee University of Engineering and Technology,Civil Engineering,7.5,0,0 Mo
Arizona State University,Admit,Architecture,Fall 2021,N/A,N/A,N/A,N/A,95,"Dr. Baliram College Of Architecture, Bandra",Architecture,7,N/A,0 Mo
Arizona State University,Admit,Architecture,Fall 2021,N/A,N/A,N/A,N/A,7,Gujarat University,Architecture,76,N/A,0 Mo
Arizona State University,Admit,Architecture,Fall 2021,N/A,N/A,N/A,N/A,7,P. R. Patil college of Architecture,Architecture,7.79,0,22 Mo
Arizona State University,Admit,Architecture,Fall 2018,N/A,N/A,N/A,N/A,7.5,Anna University,Architecture,7.72,N/A,0 Mo
Arizona State University,Admit,Architecture,Fall 2022,166,150,3,316,6.5,Vishweshwaraya Technological Universuty,Architecture,8,N/A,0 Mo
Arizona State University,Admit,Architecture,Fall 2022,N/A,N/A,N/A,N/A,64,DY Patil College of Architecture,Architecture,7.2,3,0 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,168,145,3.5,313,104,Sri Venkateshwara College Of Engineering,ECE,9.52,1,19 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,165,155,4,320,7.5,Sir MVIT,ECE,8.83,0,16 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,170,156,3.5,326,110,Birla Institute of Technology Mesra,ECE,8.6,0,12 Mo
Arizona State University,Admit,Electrical Engineering,Spring 2023,156,145,3,301,7.5,"Jawaharlal Nehru technological University, Anantapur",ECE,8.27,0,13 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,160,158,4,318,8,Gujarat Technological University,Electrical Engineering,8.33,2,8 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,161,148,3.5,309,7.5,L. D. College Of Engineering,ECE,8.4,0,0 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,156,145,4,301,93,Bangalore Institute of Technology,Instrumentation Engineering,7.76,0,0 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,170,145,4.5,315,7.5,Manipal Institute of Technology,ECE,9.39,0,24 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,155,168,3.5,323,112,K. J. Somaiya College of Engineering,ECE,9.6,0,0 Mo
Arizona State University,Admit,Electrical Engineering,Spring 2023,166,141,3.5,307,7,National Institute of technology Delhi,EEE,7.83,1,48 Mo
Arizona State University,Admit,Electrical Engineering,Winter 2023,160,149,3,309,7,"Walchand College of Engineering,Sangli",Electrical Engineering,8.95,2,25 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,167,150,4,317,98,NIT Trichy,EEE,8.67,0,67 Mo
Arizona State University,Admit,Electrical Engineering,Spring 2023,161,145,3,306,101,andhra university,ECE,78,0,107 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,162,149,3,311,8,L. D. College Of Engineering,ECE,9.17,2,0 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,168,156,4,324,111,KLE Technological University,ECE,9.35,0,48 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,N/A,N/A,N/A,N/A,96,"Veermata Jijabai Technological Institute , Matunga",Electrical Engineering,8.08,0,26 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,169,139,3.5,308,7,Gurukul Institute of Engineering & Technology,ECE,8.2,0,0 Mo
Arizona State University,Admit,Electrical Engineering,Spring 2023,159,145,4,304,7.5,Vidyavardhaka College of Engineering,ECE,7.02,0,28 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,162,149,4,311,8,PES Institute Of Technology,ECE,8.51,0,0 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,156,139,3,295,6,Gopalan College Of Engineering Management,ECE,8.06,0,0 Mo
Arizona State University,Admit,Electrical Engineering,Winter 2023,166,152,3,318,88,Arizona State University,Computer Science,8,0,0 Mo
Arizona State University,Admit,Electrical Engineering,Spring 2023,169,153,4,322,7.5,Vellore Institute of Technology,EEE,8.11,1,10 Mo
Arizona State University,Reject,Electrical Engineering,Fall 2023,163,151,3.5,314,7,Madras Institute Of Technology,Instrumentation Engineering,7.2,0,26 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,165,151,3.5,316,7.5,Thiagarajar college of Engineering,EEE,8.51,1,44 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,159,139,3,298,96,guru gobind singh indraprastha university,ECE,8.5,0,21 Mo
Arizona State University,Reject,Electrical Engineering,Fall 2023,159,160,3,319,114,Dayananda Sagar College of Engineering,Information Science,8.9,0,48 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,166,139,3.5,305,7.5,IIT Palakkad,Electrical Engineering,8.8,0,0 Mo
Arizona State University,Admit,Electrical Engineering,Spring 2023,169,152,4,321,106,IIT Patna,EEE,77,0,0 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,165,155,3.5,320,7.5,"Fr. C. Rodrigues Institute Of Technology, Vashi",Electrical Engineering,9.36,0,0 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,162,145,4,307,105,"Thapar University, Punjab",ECE,8.45,0,0 Mo
Arizona State University,Admit,Electrical Engineering,Summer 2023,155,152,3.5,307,97,Thiagarajar college of Engineering,EEE,8.88,0,0 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,164,162,4,326,N/A,BIT Mesra,ECE,8.64,0,30 Mo
Arizona State University,Admit,Electrical Engineering,Spring 2023,160,152,3.5,312,8,B V Bhoomaraddi College of Engineering and Technology,ECE,8.6,0,30 Mo
Arizona State University,Reject,Electrical Engineering,Spring 2023,N/A,N/A,N/A,N/A,6.5,"Vel Tech University , Avadi",ECE,8.14,0,17 Mo
Arizona State University,Reject,Electrical Engineering,Spring 2023,162,147,3,309,7.5,G. Narayanamma institute of technology and science,ECE,74.5,0,17 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,163,145,4,308,92,"National Institute of Technology , Warangal",EEE,8.87,2,42 Mo
Arizona State University,Reject,Electrical Engineering,Fall 2023,154,150,4,304,106,Birla Vishvakarma Mahavidyalaya,Electronics Engineering,8.25,0,18 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,156,147,N/A,303,7.5,Vidyavardhaka college of engineering,EEE,73,0,0 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,164,151,3.5,315,100,Vellore Institute of Technology,EEE,8.64,2,0 Mo
Arizona State University,Reject,Electrical Engineering,Spring 2023,166,153,4,319,8,Vishweshwaraya Technological Universuty,Electrical Engineering,7.3,1,41 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,166,147,3,313,96,"Thapar University, Punjab",ECE,8.47,0,60 Mo
Arizona State University,Reject,Electrical Engineering,Fall 2023,161,155,3,316,95,"Institute of Engineering, Tribhuwan University",Electrical Engineering,69.6,0,0 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,163,154,4,317,110,"Maharashtra Institute Of Technology , Kothrud",ECE,9.07,0,0 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,159,152,3,311,8,"Vidyalankar Institute of Technology, Mumbai",ECE,9.6,0,0 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2023,160,140,3,300,7.5,Gujarat Technological University,ECE,8.02,0,22 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2016,163,156,3,319,110,NIT Calicut,ECE,8.3,N/A,0 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2017,167,155,3,322,102,Sardar Patel Institute of Technology,ECE,8.46,N/A,0 Mo
Arizona State University,Reject,Electrical Engineering,Fall 2019,162,151,3.5,313,95,Chaitanya Bharathi Institute of Technology,ECE,7.55,1,0 Mo
Arizona State University,Reject,Electrical Engineering,Fall 2016,159,151,3,310,105,"Watumull Institute Of Electronics Engineering And Computer Technology, Worl",ECE,6.4,N/A,0 Mo
Arizona State University,Admit,Electrical Engineering,Spring 2019,161,145,3,306,85,"Rajeev Gandhi Memorial College of Engineering and Technology,Nandyal",ECE,68.79,1,37 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2022,160,144,3,304,7,Jamia Millia Islamia,ECE,8.2,1,0 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2016,157,151,3,308,108,Dayananda Sagar College of Engineering,ECE,83,N/A,0 Mo
Arizona State University,Reject,Electrical Engineering,Fall 2017,159,149,4,308,108,Vishveshvaraya Technological University (VTU),ECE,71,1,0 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2021,164,152,3,316,99,Vellore Institute of Technology,ECE,7.82,N/A,29 Mo
Arizona State University,Reject,Electrical Engineering,Fall 2016,152,145,3,297,92,Dayananda Sagar College of Engineering,EEE,66,N/A,0 Mo
Arizona State University,Reject,Electrical Engineering,Fall 2016,162,150,3.5,312,94,RMK Engineering College,Instrumentation Engineering,8.45,N/A,0 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2016,166,150,3,316,106,"P.E.S. Institute of Technology, Bangalore",ECE,9.66,N/A,0 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2021,164,149,2.5,313,7,Osmania University,EEE,8.17,2,0 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2017,163,151,3,314,96,"Vidyalankar Institute of Technology, Mumbai",EEE,8.84,1,0 Mo
Arizona State University,Reject,Electrical Engineering,Fall 2019,155,148,3,303,93,BNM Institute Of Technology,ECE,7.81,2,0 Mo
Arizona State University,Reject,Electrical Engineering,Fall 2017,159,161,3.5,320,108,RV College of Engineering,ECE,8.22,N/A,0 Mo
Arizona State University,Reject,Electrical Engineering,Fall 2015,167,146,3.5,313,102,N/A,N/A,N/A,N/A,0 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2018,165,145,3,310,94,RV College of Engineering,ECE,9.35,0,6 Mo
Arizona State University,Reject,Electrical Engineering,Fall 2019,163,152,4,315,103,Assam Engineering College,EEE,66,0,23 Mo
Arizona State University,Reject,Electrical Engineering,Fall 2017,165,155,3.5,320,99,Gayatri Vidya Parishad College of Engineering,ECE,86.74,0,0 Mo
Arizona State University,Reject,Electrical Engineering,Fall 2015,167,149,0,316,94,N/A,N/A,N/A,N/A,0 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2018,158,154,3,312,96,SRM University,Instrumentation Engineering,9.6,N/A,0 Mo
Arizona State University,Reject,Electrical Engineering,Fall 2016,159,149,4,308,108,"Watumull Institute Of Electronics Engineering And Computer Technology, Worl",ECE,6.8,N/A,0 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2017,160,142,3.5,302,92,Thakur College of Engineering and Technology,EEE,8.27,0,0 Mo
Arizona State University,Reject,Electrical Engineering,Fall 2018,169,160,5,329,116,IIT Guwahati,ECE,7.48,N/A,30 Mo
Arizona State University,Reject,Electrical Engineering,Fall 2015,166,146,4,312,104,N/A,N/A,N/A,N/A,0 Mo
Arizona State University,Reject,Electrical Engineering,Fall 2017,162,154,4,316,115,NIT Trichy,Instrumentation Engineering,7.4,N/A,0 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2017,158,154,4,312,106,Heritage Institute of Technology,Instrumentation Engineering,8.35,N/A,0 Mo
Arizona State University,Admit,Electrical Engineering,Fall 2021,160,149,4,309,96,"Atharva College Of Engineering, Malad",ECE,7.05,1,26 Mo
